SCREEN_ID	SCREEN_CD	DICT_ID	SYSTEM_TYPE
488	StockMoveHistory	1653	wms
489	StockMoveInstList	1475	wms
490	StockMoveList	1472	wms
491	StockSetInst	1457	wms
492	StockSetInstListPrint	1486	wms
493	StockSetRelease	1461	wms
494	StockSetReleaseListPrint	1487	wms
495	StockTypeMaster	1284	wms
496	StoreLabelPrint	831	wms
497	StwListPrint	976	wms
498	TotalStockList	1451	wms
499	UserEdit	1024	wms
500	UserMasterList	1023	wms
501	VendorMasterSearch	700	wms
502	VendorMasterSearchSD	700	wms_sd
503	WarehouseMaster	687	wms
504	WebHTinfoMaster	3330	wms
505	WorkloadInquiry	3472	wms
506	ZipMaster	693	wms
507	ZipMasterBulkInput	3328	wms
508	ZipMasterEdit	1391	wms
509	ZipMasterSearch	1195	wms
510	ZipMasterSearchSD	1195	wms_sd
511	ZoneMaster	829	wms
