COL_ID	ITEM_ID	COL_CD	DICT_ID	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE
316	1901	delFlg	1196	5	text	1	0		0	200		
317	1901	bclassDtlByDelFlg.vdict.dictNm	1197	6	text	1	0		0	170		
318	1901	mcenter.centerCd	202	7	text	1	0		0	170		
319	1901	mcenter.centerNm	208	8	text	1	0		0	200		
320	1912	boxCd	5393	1	text	1	0		0			
321	1912	boxNm	5394	2	text	1	1		1			
322	1912	boxType	5395	3	dropdown	1	1		1			
323	1912	bxcpy	5396	4	number	1	0	right	0			
324	1912	bxweight	5397	5	number	1	1	right	1			
325	1912	bxoszl	5398	6	number	1	1	right	1			
326	1912	bxoszw	5399	7	number	1	1	right	1			
327	1912	bxoszh	5400	8	number	1	1	right	1			
328	1912	length	5401	9	number	1	1	right	1			
329	1912	width	5402	10	number	1	1	right	1			
330	1912	height	5403	11	number	1	1	right	1			
331	1912	volumeRate	5404	12	number	1	1	right	1			
332	1912	delFlg	805	13	dropdown	1	1		1			
339	1935	trsymbolId	5682	1	text	1	0		0	180		
340	1935	receivePlanHId	5576	2	text	1	0		0	180		
341	1935	symbolMakeNo	5577	3	text	1	0		0	180		
342	1935	damageFlg	5689	4	text	1	0		0	180		
343	1935	locationCd	262	5	text	1	0		0	180		
344	1935	locGroup	5315	6	text	1	0		0	180		
345	1935	destinationCd	5564	7	text	1	0		0	180		
346	1935	destinationNm	5565	8	text	1	0		0	180		
347	1935	receiveDate	583	9	date	1	0		0	180		
348	1935	shipDate	5683	10	date	1	0		0	180		
349	1935	symbolItemCd	5684	11	text	1	0		0	180		
350	1935	productNm	5692	12	text	1	0		0	180		
351	1935	lot1	4920	13	text	1	0		0	180		
352	1935	symbolLot4	5693	14	date	1	0		0	180		
353	1935	symbolLot3	5694	15	text	1	0		0	180		
354	1935	symbolPrinterNo	4498	16	text	1	0		0	180		
355	1935	symbolProductMark	5695	17	text	1	0		0	180		
356	1935	otherlot1	763	18	text	1	0		0	180		
357	1935	caseItfNo	5685	19	text	1	0		0	180		
358	1935	caseBarcodeValiant	5696	20	text	1	0		0	180		
359	1935	caseLot4	5697	21	date	1	0		0	180		
360	1935	caseCenterNo	5698	22	text	1	0		0	180		
361	1935	casePackNo	5699	23	text	1	0		0	180		
362	1935	casePackTime	5700	24	text	1	0		0	180		
363	1935	fromAddress1	5701	25	text	1	0		0	180		
364	1935	carrierName	5702	26	text	1	0		0	180		
365	1935	carrierWbNo	5703	27	text	1	0		0	180		
