DICT_CULTURE_ID	DICT_NM
8598	ｼﾘｱﾙ登入(ｿｰｽCD)
8599	Input Rcv Serial (UPC)
8600	序列登入(代码CD)
8601	ｼﾘｱﾙ登入(範囲)
8602	Input Rcv Serial (Range)
8603	序列登入(范围)
8604	ｼﾘｱﾙ登入(確認)
8605	Input Rcv Serial (Confirm)
8606	序列登入(确认)
8607	ｼﾘｱﾙ登入(ｼﾘｱﾙ)
8608	Input Rcv Serial (Serial)
8609	序列登入(序列)
8610	登録数
8611	Registered Qty
8612	登陆数
8613	入荷検品格納を
8614	Complete Put-away Inspection?
8615	收货检品上架
8616	入荷検品格納を
8617	End Put-away Inspection?
8618	收货检品上架
8619	入庫ラベル使用
8620	Use Receiving Label
8621	入库标签使用
8622	汎用ラベル使用
8623	Use Generic Label
8624	通用标签使用
8625	入荷検品格納完了
8626	Put-away Inspection Complete.
8627	收货检品上架完了
8628	完了しますか？
8629	 
8630	要完成吗？
8631	検品格納(終了)
8632	Put-away Inspection (End)
8633	检品上架(终了)
8634	検品格納(詳細)
8635	Put-away Inspection (Details)
8636	检品上架(详细)
8637	検品格納(ｿｰｽCD)
8638	Put-away Inspection (UPC)
8639	检品上架(代码CD)
8640	検品格納(汎用)
8641	Put-away Inspection (Generic)
8642	检品上架(通用)
8643	検品格納(一覧)
8644	Put-away Inspection (List)
8645	检品上架(一览)
8646	検品格納(ロケ)
8647	Put-away Inspection (Location)
8648	检品上架(库位)
8649	検品格納(数量)
8650	Put-away Inspection (Qty)
8651	检品上架(数量)
8652	検品格納確認
8653	Confirm Put-away Inspection
8654	检品上架确认
8655	検品格納(伝票No)
8656	Put-away Inspection (Doc No)
8657	检品上架(单据No)
8658	入荷検品(汎用)
8659	Receiving Inspection (Generic)
8660	收货检品(通用)
8661	データを登録します
8662	Register data?
8663	数据登陆
8664	計算数値
8665	Calculated Number
8666	计算数值
8667	棚卸数量荷姿
8668	Inventory Count Qty UOM
8669	盘点数量包装
8670	センタ(権限)
8671	Center (Permission)
8672	中心(权限)
8673	荷主(権限)
8674	Shipper (Permission)
8675	货主(权限)
8688	出荷内訳
8689	Shipping Breakdown
8690	发货明细
8691	引当内訳
8692	Allocation Breakdown
8693	分配明细
8727	小数有無フラグ
8728	Decimal Flag
8729	小数有无标识
8762	预定数包装
8763	予定数荷姿
8764	Plan UOM
8765	预定数包装
8766	指示数荷姿
8767	Instruction UOM
8768	指示数包装
8769	指示出庫内訳
8770	Instruct Picking Breakdown
8771	指示出库明细
8772	指示入庫内訳
8773	Instruction Put-away Breakdown
8774	指示入库明细
8775	棚卸内訳
8776	Inventory Count Breakdown
8777	盘点明细
8778	総数
8779	Total Qty
8780	总数
8781	検品数荷姿
8782	Inspection UOM
8783	検品数荷姿
8784	指示内訳
8785	Instruction Breakdown
8786	指示明细
8790	在庫内訳
8791	Inventory Breakdown
8792	库存明细
8793	引当可能内訳
8794	Available Breakdown
8795	分配可能明细
8796	引当済内訳
8797	Allocated Breakdown
8798	已分配明细
8799	作業中内訳
8800	In-Progress Breakdown
8801	作业中明细
8802	積送中内訳
8803	In-Transit Breakdown
8804	装运中明细
8805	現時点内訳
8806	Current Qty Breakdown
8807	现时点明细
8823	在庫数荷姿
8824	Inventory UOM
8825	库存数包装
8826	総在庫数荷姿
8827	Total Inventory UOM
8828	总库存数包装
8829	移動先総在庫数荷姿
8830	Total Qty (To) UOM
8831	移动先总在库数荷姿
8832	移動総数荷姿
8833	Total Transfer UOM
8834	移动总数荷姿
8835	前残内訳
8836	Previous Breakdown
8837	前残明细
8838	受入内訳
8839	Received Breakdown
8840	受入明细
8841	払出内訳
8842	Shipped Breakdown
8843	付出明细
8844	当日在庫内訳
8845	Current Inventory Breakdown
8846	当日库存明细
8847	在庫管理単位CD
8848	Inventory Management Unit Code
8849	库存管理单位CD
8850	在庫管理単位名称
8851	Inventory Management Unit Name
8852	库存管理单位名称
8853	差異数(以上)
8854	Discrepancy Qty (Minimum)
8855	差异数(以上)
8856	棚卸数荷姿
8857	Inventory Count UOM
8858	盘点数包装
8859	入数単位
8860	Unit Qty UOM
8861	入数单位
8865	梱包No.
8866	Packing No.
8867	捆包No.
8868	(From)
8869	(From)
8870	(From)
8871	(To)
8872	(To)
8873	(To)
8898	Bill of lading No
8899	Bill of Lading No.
8900	Bill of lading No
8901	Bill of Lading発行フラグ
