CLASS_DTL_ID	CLASS_ID	CLASS_DTL_CD	DICT_ID	VIEW_ORDER	DEFAULT_FLG
1827	329	8012	4373	16	0
1828	329	8045	4374	17	0
1829	329	8011	4375	18	0
1830	329	8355	4376	19	0
1831	329	8067	4377	20	0
1832	329	8016	4378	21	0
1833	329	8018	4379	22	0
1834	329	8017	4380	23	0
1835	329	8019	4381	24	0
1836	329	8020	4382	25	0
1837	329	8042	4383	26	0
1838	329	8318	4384	27	0
1839	329	8025	4385	28	0
1840	329	8027	4386	29	0
1841	329	8036	4387	30	0
1842	329	8499	4388	31	0
1843	329	8359	4389	32	0
1844	329	8460	4390	33	0
1845	329	8010	4391	34	0
1846	330	WORKER	4392	1	0
1847	330	USER	532	2	0
1848	331	8351	4393	1	0
1849	331	8075	4394	2	0
1850	331	8037	4395	3	0
1851	331	8002	4396	4	0
1852	331	8004	4397	5	0
1853	331	8005	4398	6	0
1854	331	8006	4399	7	0
1855	331	8034	4400	8	0
1856	331	8009	4401	9	0
1857	331	8356	4402	10	0
1858	331	8352	4403	11	0
1859	331	8357	4404	12	0
1860	331	8044	4405	13	0
1861	331	8039	4406	14	0
1862	331	8077	4407	15	0
1863	331	8012	4408	16	0
1864	331	8045	4409	17	0
1865	331	8011	4410	18	0
1866	331	8355	4411	19	0
1867	331	8067	4412	20	0
1868	331	8016	4413	21	0
1869	331	8018	4414	22	0
1870	331	8017	4415	23	0
1871	331	8019	4416	24	0
1872	331	8020	4417	25	0
1873	331	8318	4418	26	0
1874	331	8042	4419	27	0
1875	331	8025	4420	28	0
1876	331	8027	4421	29	0
1877	331	8036	4422	30	0
1878	331	8499	4423	31	0
1879	331	8359	4424	32	0
1880	331	8460	4425	33	0
1881	331	8010	4426	34	0
1882	332	8351	4427	1	0
1883	332	8075	4428	2	0
1884	332	8037	4429	3	0
1885	332	8002	4430	4	0
1886	332	8004	4431	5	0
1887	332	8005	4432	6	0
1888	332	8006	4433	7	0
1889	332	8034	4434	8	0
1890	332	8009	4435	9	0
1891	332	8356	4436	10	0
1892	332	8352	4437	11	0
1893	332	8357	4438	12	0
1894	332	8044	4439	13	0
1895	332	8039	4440	14	0
1896	332	8077	4441	15	0
1897	332	8012	4442	16	0
1898	332	8045	4443	17	0
1899	332	8011	4444	18	0
1900	332	8355	4445	19	0
1901	332	8067	4446	20	0
1902	332	8016	4447	21	0
1903	332	8018	4448	22	0
1904	332	8017	4449	23	0
1905	332	8019	4450	24	0
1906	332	8020	4451	25	0
1907	332	8318	4452	26	0
1908	332	8042	4453	27	0
1909	332	8025	4454	28	0
1910	332	8027	4455	29	0
1911	332	8036	4456	30	0
1912	332	8499	4457	31	0
1913	332	8359	4458	32	0
1914	332	8460	4459	33	0
1915	332	8010	4460	34	0
1916	333	L1	4246	1	0
1917	333	L2	4247	2	0
1918	333	L3	4248	3	0
1919	333	L4	4249	4	0
1920	333	L5	4250	5	0
1921	333	L6	4251	6	0
1922	333	L7	4252	7	0
1923	333	L8	4253	8	0
1924	333	L9	4254	9	0
1925	333	B1	4255	10	0
1926	333	B2	2117	11	0
1927	333	B3	4256	12	0
1928	333	B4	4257	13	0
1929	333	B5	4258	14	0
1930	333	99	1155	15	0
1931	333	9903	3515	16	0
1932	333	9905	3514	17	0
1933	333	9910	2002	18	0
1934	333	_	4461	19	0
1935	334	8351	4462	1	0
1936	334	8075	4463	2	0
1937	334	8037	4464	3	0
1938	334	8002	4465	4	0
1939	334	8004	4466	5	0
1940	334	8005	4467	6	0
1941	334	8006	4468	7	0
1942	334	8034	4469	8	0
1943	334	8009	4470	9	0
1944	334	8356	4471	10	0
1945	334	8352	4472	11	0
1946	334	8357	4473	12	0
1947	334	8044	4474	13	0
1948	334	8039	4475	14	0
1949	334	8077	4476	15	0
1950	334	8012	4477	16	0
1951	334	8045	4478	17	0
1952	334	8011	4479	18	0
1953	334	8355	4480	19	0
1954	334	8067	4481	20	0
1955	334	8016	4482	21	0
1956	334	8018	4483	22	0
