REPORT_LAYOUT_ITEM_ID	REPORT_LAYOUT_ID	ITEM_CD	DICT_ID	ITEM_TYPE	VISIBLE	ITEM_FORMAT
983	53	lblLot	266	String	1	
984	53	lblWarehouseNm	723	String	1	
985	53	lblZoneNm	724	String	1	
986	53	lblTLocationNm1	1125	String	1	
987	53	lblTLocationNm2	1126	String	1	
988	53	lblPinkLoc1	1128	String	1	
989	53	lblPinkLoc2	1126	String	1	
990	53	lblShippingLoc1	1864	String	1	
991	53	lblShippingLoc2	1126	String	1	
992	53	lblStoreLoc1	1863	String	1	
993	53	lblStoreLoc2	1126	String	1	
994	53	lblBreakdown	2681	String	1	
995	53	lblStringUnitNum	585	String	1	
996	53	lblStoreLabelNo	573	String	1	
997	53	lblStoreNum	2927	String	1	
998	53	lblTitle	1287	String	1	
999	53	lblStoreDt	583	String	1	
1000	54	lblClientNm	734	String	1	
1001	54	lblCntrNm	5142	String	1	
1002	54	lblProdCd	765	String	1	
1003	54	lblDepositNm	762	String	1	
1004	54	lblStockType	763	String	1	
1005	54	lblLimitDt	313	String	1	
1006	54	lblLot	266	String	1	
1007	54	lblWarehouseNm	723	String	1	
1008	54	lblZoneNm	724	String	1	
1009	54	lblTLocationNm1	1125	String	1	
1010	54	lblTLocationNm2	1126	String	1	
1011	54	lblPinkLoc1	1128	String	1	
1012	54	lblPinkLoc2	1126	String	1	
1013	54	lblShippingLoc1	1864	String	1	
1014	54	lblShippingLoc2	1126	String	1	
1015	54	lblStoreLoc1	1863	String	1	
1016	54	lblStoreLoc2	1126	String	1	
1017	54	lblBreakdown	2681	String	1	
1018	54	lblStringUnitNum	585	String	1	
1019	54	lblStoreLabelNo	573	String	1	
1020	54	lblStoreNum	2927	String	1	
1021	54	lblTitle	1287	String	1	
1022	54	lblStoreDt	583	String	1	
1023	55	lblClientNm	734	String	1	
1024	55	lblCntrNm	5142	String	1	
1025	55	lblProdCd	765	String	1	
1026	55	lblDepositNm	762	String	1	
1027	55	lblStockType	763	String	1	
1028	55	lblLimitDt	313	String	1	
1029	55	lblLot	266	String	1	
1030	55	lblWarehouseNm	723	String	1	
1031	55	lblZoneNm	724	String	1	
1032	55	lblTLocationNm1	1125	String	1	
1033	55	lblTLocationNm2	1126	String	1	
1034	55	lblPinkLoc1	1128	String	1	
1035	55	lblPinkLoc2	1126	String	1	
1036	55	lblShippingLoc1	1864	String	1	
1037	55	lblShippingLoc2	1126	String	1	
1038	55	lblStoreLoc1	1863	String	1	
1039	55	lblStoreLoc2	1126	String	1	
1040	55	lblBreakdown	2681	String	1	
1041	55	lblStringUnitNum	585	String	1	
1042	55	lblStoreLabelNo	573	String	1	
1043	55	lblStoreNum	2927	String	1	
1044	55	lblTitle	1287	String	1	
1045	55	lblStoreDt	583	String	1	
