DICT_CULTURE_ID	DICT_ID	CULTURE_ID	DICT_NM
405	135	3	必须表示
406	136	1	時刻
407	136	2	Time
408	136	3	时刻
409	137	1	同一ウインドウで開く
410	137	2	Open in Same Window
411	137	3	同一窗口中打开
412	138	1	別ウインドウを新規で開く
413	138	2	Open in New Window
414	138	3	新窗口中打开
415	139	1	別ウインドウを同一画面で開く
416	139	2	Open in New Window With Same Screen
417	139	3	同一画面新窗口中打开
418	140	1	開き方
419	140	2	Open Method
420	140	3	打开方式
421	141	1	表示種別
422	141	2	Display Device
423	141	3	显示类型
424	142	1	権限制御区分
425	142	2	Access Control Class
426	142	3	权限控制区分
427	143	1	権限制御区分CD
428	143	2	Access Control Class Code
429	143	3	权限控制区分CD
430	144	1	権限制御区分名称
431	144	2	Access Control Class Name
432	144	3	权限控制区分名称
433	145	1	許可を指定
434	145	2	Specify Permissions
435	145	3	指定许可
436	146	1	拒否を指定
437	146	2	Specify Lack of Permissions
438	146	3	指定拒绝
439	147	1	帳票マスタメンテナンス
440	147	2	Document Master Maintenance
441	147	3	帐票主数据维护
442	148	1	帳票マスタメンテナンスグリッド
443	148	2	Document Master Maintenance Grid
444	148	3	帐票主数据维护表单
445	149	1	帳票名称
446	149	2	Document Name
447	149	3	帐票名称
448	150	1	プロパティマスタメンテナンス
449	150	2	Property Master Maintenance
450	150	3	属性主数据维护
451	151	1	プロパティマスタメンテナンスグリッド
452	151	2	Property Master Maintenance Grid
453	151	3	属性主数据维护表单
454	152	1	帳票レイアウト一覧
455	152	2	List of Document Layouts
456	152	3	帐票布局一览
457	153	1	端末設定
458	153	2	Terminal Setting
459	153	3	端末设定
460	154	1	端末リスト
461	154	2	Terminal List
462	154	3	端末清单
463	155	1	端末CD
464	155	2	Terminal Code
465	155	3	端末编码
466	156	1	ユーザ別自動印刷設定
467	156	2	Automated Print Settings (User)
468	156	3	自动印刷设定(用户)
469	157	1	端末別自動印刷設定
470	157	2	Automated Print Settings (Terminal)
471	157	3	自动印刷设定(端末)
472	158	1	マスタ
473	158	2	MASTER
474	158	3	主表
475	159	1	入荷
476	159	2	RECEIVING
477	159	3	收货
478	160	1	出荷
479	160	2	SHIPPING
480	160	3	发货
481	161	1	在庫
482	161	2	INVENTORY
483	161	3	库存
484	162	1	棚卸
485	162	2	INVENTORY COUNT
486	162	3	盘点
487	163	1	ユーザ荷主倉庫選択
488	163	2	Select User Shipper Warehouse
489	163	3	用户货主仓库选择
490	164	1	荷主選択
491	164	2	Select Shipper
492	164	3	货主选择
493	165	1	センタ選択
494	165	2	Select Center
495	165	3	中心选择
496	166	1	倉庫選択
497	166	2	Select Warehouse
498	166	3	仓库选择
499	167	1	切替
500	167	2	Switch
501	167	3	转换
502	168	1	WMSマスタ管理不可
503	168	2	WMS Master Management Disabled
504	168	3	WMS主表管理不可
505	169	1	日次締処理不可
506	169	2	Daily Closing Process Disabled
507	169	3	日次期限处理不可
508	170	1	10日残数
509	170	2	Balance (10th)
510	170	3	10日残数
511	171	1	15日残数
512	171	2	Balance (15th)
513	171	3	15日残数
514	172	1	一次ピッキングリスト発行者ID
515	172	2	Primary Picking List Issuer ID
516	172	3	一次分拣清单发行者ID
517	173	1	一次ピッキングリスト発行日時
518	173	2	Primary Picking List Issued Date
519	173	3	一次分拣清单发行日时
520	174	1	20日残数
521	174	2	Balance (20th)
522	174	3	20日残数
523	175	1	二次ピッキングリスト発行者ID
524	175	2	Secondary Picking List Issuer ID
525	175	3	二次分拣清单发行者ID
526	176	1	二次ピッキングリスト発行日時
527	176	2	Secondary Picking List Issued Date
528	176	3	二次分拣清单发行日时
529	177	1	受払日(From)
530	177	2	Inventory Activity Date (From)
531	177	3	收支日(From)
532	178	1	HT検品完了日
533	178	2	HT Inspection Date
534	178	3	HT检品完了日
535	179	1	HT検品担当者ID
536	179	2	HT Inspection User ID
537	179	3	HT检品担当者ID
538	180	1	ソースCD
539	180	2	UPC
540	180	3	代码CD
541	181	1	受払日(To)
542	181	2	Inventory Activity Date (To)
543	181	3	收支日(To)
544	182	1	URLパス
545	182	2	URL Path
546	182	3	URL路径
547	183	1	WMS在庫移動伝票No.
548	183	2	Transfer ID
549	183	3	WMS库存移动单据No.
550	184	1	WMS出荷伝票No.
551	184	2	Shipping ID
