CENTER_ID	CLASS_CD	CLASS_COMMENT	SYSTEM_TYPE	CLASS_DTL_CD	DICT_NM	VIEW_ORDER	DEFAULT_FLG	CLASS_GRP_CD	CLASS_GRP_COMMENT	USE_FLG	DEFAULT_FLG	CLASS_GRP_CD	CLASS_GRP_COMMENT	USE_FLG	DEFAULT_FLG	CLASS_GRP_CD	CLASS_GRP_COMMENT	USE_FLG	DEFAULT_FLG	CLASS_GRP_CD	CLASS_GRP_COMMENT	USE_FLG	DEFAULT_FLG
100008	API_BINSYU_CODE	WebAPI便種コード	wms	141	クール冷蔵(航空便)	4	0																
100008	API_BINSYU_CODE	WebAPI便種コード	wms	150	クール冷凍	5	0																
100008	API_BINSYU_CODE	WebAPI便種コード	wms	151	クール冷凍(航空便)	6	0																
100008	API_DAIBIKI_FLG	WebAPI代引フラグ	wms	0	通常の送り状を発行	1	0																
100008	API_DAIBIKI_FLG	WebAPI代引フラグ	wms	1	代金引換の送り状を発行	2	0																
100008	API_DAIBIKI_TYPE	WebAPI代引支払方法区分	wms	0	なんでも決済	1	0																
100008	API_DAIBIKI_TYPE	WebAPI代引支払方法区分	wms	1	現金	2	0																
100008	API_DAIBIKI_TYPE	WebAPI代引支払方法区分	wms	2	クレジットカード・デビットカード	3	0																
100008	API_EIDOME_FLG	WebAPI営止フラグ	wms	0	営業所止めを行いません	1	0																
100008	API_EIDOME_FLG	WebAPI営止フラグ	wms	1	営業所止めにします	2	0																
100008	API_WEIGHT_CD	WebAPI重量コード	wms	60	2Kg(サイズ60)	1	0																
100008	API_WEIGHT_CD	WebAPI重量コード	wms	80	5Kg(サイズ80)	2	0																
100008	API_WEIGHT_CD	WebAPI重量コード	wms	100	10Kg(サイズ100)	3	0																
100008	API_WEIGHT_CD	WebAPI重量コード	wms	140	20Kg(サイズ140)	4	0																
100008	API_WEIGHT_CD	WebAPI重量コード	wms	160	30Kg(サイズ160)	5	0																
100008	OUTPUT_TARGET_FLG	発行対象のみ表示	wms	1	発行対象のみ	1	0																
100008	PRINT_CONDITION	未発行のみ表示	wms	1	未発行のみ表示	1	0																
