IDENTIFY	BUSINESS_NM	TABLE_NM	TABLE_PHYSICAL_NM	COLUMN_NM	COLUMN_PHYSICAL_NM	CLASS_CD
BASE	受注系	EC受注ボディ	T_EC_ORDER_B	エラーフラグ	ERROR_FLG	ERROR_FLG
BASE	受注系	EC受注ヘッダ	T_EC_ORDER_H	送付先一致フラグ	DELIV_MATCH_FLG	DELIV_MATCH_FLG
BASE	受注系	EC受注ヘッダ	T_EC_ORDER_H	エラーフラグ	ERROR_FLG	ERROR_FLG
BASE	受注系	EC受注ヘッダ	T_EC_ORDER_H	ギフトフラグ	GIFT_FLG	GIFT_FLG
BASE	受注系	EC受注ヘッダ	T_EC_ORDER_H	取込みフラグ	IMPORT_FLG	IMPORT_FLG
BASE	受注系	EC受注ヘッダ	T_EC_ORDER_H	優先フラグ	PRIORITY_FLG	PRIORITY_FLG
BASE	受注系	EC受注帳票	T_EC_ORDER_R	送り状データ作成フラグ	INVOICE_CREATE_FLG	INVOICE_CREATE_FLG
BASE	受注系	EC受注帳票	T_EC_ORDER_R	納品書出力フラグ	STATEMENT_OUT_FLG	LIST_OUT_FLG
BASE	トランザクション在庫系	棚卸ボディ	T_INVENTORY_B	入力区分	INPUT_TYPE	INPUT_TYPE
BASE	トランザクション在庫系	棚卸ボディ	T_INVENTORY_B	在庫調整フラグ	STOCK_ADJUST_FLG	STOCK_MOVE_FLG
BASE	トランザクション在庫系	棚卸入力履歴	T_INVENTORY_INP_HIST	最新フラグ	LAST_FLG	LAST_FLG
BASE	トランザクション在庫系	棚卸指示	T_INVENTORY_INST	在庫有のみフラグ	STOCK_EXIST_ONLY_FLG	STOCK_EXIST_ONLY_FLG
BASE	トランザクション在庫系	棚卸帳票	T_INVENTORY_R	棚卸作業リスト出力フラグ	TWL_OUT_FLG	LIST_OUT_FLG
BASE	トランザクション在庫系	在庫移動指示ボディ	T_MOVE_INST_B	入出庫区分	INOUT_TYPE	INOUT_TYPE
BASE	トランザクション在庫系	在庫移動指示ボディ	T_MOVE_INST_B	在庫移動指示ステータス	MOVE_INST_STATUS	MOVE_INST_STATUS
BASE	トランザクション在庫系	在庫移動指示ヘッダ	T_MOVE_INST_H	入力区分	INPUT_TYPE	INPUT_TYPE
BASE	トランザクション在庫系	在庫移動指示ヘッダ	T_MOVE_INST_H	在庫移動指示ステータス	MOVE_INST_STATUS	MOVE_INST_STATUS
BASE	トランザクション在庫系	在庫移動指示帳票	T_MOVE_INST_R	指示書出力フラグ	INST_OUT_FLG	LIST_OUT_FLG
BASE	トランザクション在庫系	在庫移動実績ボディ	T_MOVE_RECORD_B	全数出庫フラグ	ALL_SHIPPING_FLG	ALL_SHIPPING_FLG
BASE	トランザクション在庫系	在庫移動実績ボディ	T_MOVE_RECORD_B	入庫No.マージフラグ	STORE_NO_MERGE_FLG	STORE_NO_MERGE_FLG
BASE	トランザクション出荷系	梱包ボディ	T_PACKING_B	検品フラグ	INSPECTION_FLG	INSPECTION_FLG
BASE	トランザクション出荷系	梱包ボディ	T_PACKING_B	出庫フラグ	PICKING_FLG	PICKING_FLG
BASE	トランザクション出荷系	梱包ヘッダ	T_PACKING_H	積込フラグ	LOADING_FLG	LOADING_FLG
BASE	トランザクション出荷系	梱包ヘッダ	T_PACKING_H	混載フラグ	MIXED_FLG	MIXED_FLG
BASE	トランザクション出荷系	梱包ヘッダ	T_PACKING_H	マルチピック計算フラグ	MULTI_PIC_FLG	MULTI_PIC_FLG
BASE	トランザクション出荷系	梱包ヘッダ	T_PACKING_H	梱包ステータス	PACKING_STATUS	PACKING_STATUS
BASE	トランザクション出荷系	梱包帳票	T_PACKING_R	積込リスト出力フラグ	STW_OUT_FLG	LIST_OUT_FLG
BASE	トランザクション出荷系	梱包帳票	T_PACKING_R	荷札出力フラグ	TAG_OUT_FLG	LIST_OUT_FLG
