MENU_GRP_CD	DICT_NM	PARENT_MENU_GRP_CD	VIEW_ORDER	VISIBLE_TYPE	SCREEN_CD	DICT_NM	DICT_NM	URL_PATH	TARGET_WINDOW	VIEW_ORDER	DEL_FLG
MASTER	マスタ		7	PC	WarehouseMaster	倉庫マスタメンテナンス		#/wms/master/WarehouseMaster	0	10	0
MASTER	マスタ		7	PC	CenterMasterList	センタマスタメンテナンス		#/wms/master/CenterMasterList	0	11	0
MASTER	マスタ		7	PC	ZoneMaster	ゾーンマスタメンテナンス		#/wms/master/ZoneMaster	0	12	0
MASTER	マスタ		7	PC	StockTypeMaster	在庫区分マスタメンテナンス		#/wms/master/StockTypeMaster	0	13	0
MASTER	マスタ		7	PC	ShapeMaster	荷姿マスタメンテナンス		#/wms/master/ShapeMaster	0	14	0
MASTER	マスタ		7	PC	ShapeGroupMasterList	荷姿グループマスタメンテナンス		#/wms/master/ShapeGroupMasterList	0	15	0
MASTER	マスタ		7	PC	NumberingCenterMaster	センタ採番マスタメンテナンス		#/wms/master/NumberingCenterMaster	0	16	0
OPERATION	運用		8	PC	TrackingInfoList	追跡情報確認		#/wms/operation/TrackingInfoList	0	1	0
OPERATION	運用		8	PC	ProductTrackingInfoListSortingShop	製品追跡情報(仕分店単位)		#/wms/operation/ProductTrackingInfoListSortingShop	0	2	0
OPERATION	運用		8	PC	WorkloadInquiry	作業量照会		#/wms/operation/WorkloadInquiry	0	3	0
OPERATION	運用		8	PC	PrintRequestList	印刷情報一覧		#/base/operation/PrintRequestList	0	4	0
OPERATION	運用		8	PC	PrinterList	プリンタマスタメンテナンス		#/base/master/PrinterList	0	5	0
OPERATION	運用		8	PC	PrinterAttributeList	プリンタ属性マスタメンテナンス		#/base/master/PrinterAttributeList	0	6	0
OPERATION	運用		8	PC	PrinterGroupList	プリンタグループマスタメンテナンス		#/base/master/PrinterGroupList	0	7	0
OPERATION	運用		8	PC	PrintServiceList	印刷サービス情報メンテナンス		#/base/master/PrintServiceList	0	8	0
OPERATION	運用		8	PC	WebHTinfoMaster	SD管理マスタメンテナンス		#/wms/master/WebHTinfoMaster	0	9	0
OPERATION	運用		8	PC	LocationBulkChange	ロケーション一括変更(アップロード)		#/wms/operation/LocationBulkChange	0	10	0
OPERATION	運用		8	PC	LogList	ログ一覧		#/base/operation/LogList	0	11	0
SYSTEM	システム		9	PC	RoleList	権限マスタメンテナンス		#/base/master/RoleList	0	1	0
SYSTEM	システム		9	PC	RoleGrpList	権限グループマスタメンテナンス		#/base/master/RoleGrpList	0	2	0
SYSTEM	システム		9	PC	ReportMaster	帳票マスタメンテナンス		#/base/master/ReportMaster	0	3	0
