メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ
httpConnectionErrorTitle	error	base	ja-JP	以下のエラーが発生しました。[/]ネットワークに接続出来るか確認して下さい。[/]それでも解決しない場合、以下の内容を管理者にお伝え下さい。	サーバ接続不可									
infoMasterError	error	base	ja-JP	お知らせマスタ取得エラー	取得失敗									
infoTitle	info	base	ja-JP	お知らせ										
inputLimitCheckAlphabetAndHyphenOnlyError	error	base	ja-JP	英字と-のみ	英字と-のみ	[0]は英字と-のみ入力可能です。								
inputLimitCheckAlphabetAndNumericAndHyphenOnlyError	error	base	ja-JP	英数字と-のみ	英数字と-のみ	[0]は英数字と-のみ入力可能です。								
inputLimitCheckAlphabetAndNumericAndSymbolOnlyError	error	base	ja-JP	英数字と記号のみ	英数字と記号のみ	[0]は英数字と記号のみ入力可能です。								
inputLimitCheckAlphabetAndNumericOnlyError	error	base	ja-JP	英数字のみ	英数字のみ	[0]は英数字のみ入力可能です。								
inputLimitCheckAlphabetOnlyError	error	base	ja-JP	英字のみ	数字と-のみ	[0]は英字のみ入力可能です。								
inputLimitCheckFullWidthOnlyError	error	base	ja-JP	全角文字のみ	全角文字のみ	[0]は全角文字のみ入力可能です。								
inputLimitCheckHalfWidthOnlyError	error	base	ja-JP	半角文字のみ	半角文字のみ	[0]は半角文字のみ入力可能です。								
inputLimitCheckNumericAndHyphenOnlyError	error	base	ja-JP	数字と-のみ	数字と-のみ	[0]は数字と-のみ入力可能です。								
inputLimitCheckNumericOnlyError	error	base	ja-JP	数値のみ	数値のみ	[0]は数値のみ入力可能です。								
inputLimitCheckTimeHHMMSSOnlyError	error	base	ja-JP	時刻のみ(HH:MM:SS)	時刻のみ(HH:MM:SS)	[0]は時刻のみ(HH:MM:SS)入力可能です。								
